InputID,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5
31210101,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1
31410011,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
31410123,2,1,1,1,1,1,3,1,1,1,NA,NA,NA,NA,NA
31410170,1,3,1,1,1,1,1,1,1,1,3,1,1,2,1
31410196,1,1,1,1,1,1,1,1,1,1,1,2,11,1,1
31510058,1,1,1,1,1,1,2,1,1,1,14,5,2,1,2
31510062,1,2,1,1,1,1,1,2,1,1,28,1,2,1,1
31510074,1,1,1,1,1,1,1,1,1,1,42,4,1,1,1
31510156,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
31510207,1,1,1,1,1,4,1,1,1,1,12,1,2,1,1
31610007,1,1,1,1,1,1,1,1,1,1,20,7,4,3,4
31610016,4,2,1,1,1,3,1,1,1,1,45,10,1,1,1
31610021,2,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
31610025,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1
31610043,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA
31610044,1,1,1,1,1,1,1,1,1,1,18,2,1,1,1
31610052,1,1,1,1,1,3,1,1,1,1,2,1,1,3,1
31610079,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA
31610097,1,1,1,1,1,1,1,1,1,1,13,5,2,1,1
31610121,1,1,1,1,1,1,1,2,1,1,20,1,2,5,2
31610124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,4,120,6,1
31610135,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1
31610158,1,1,1,1,1,1,1,1,1,1,5,2,5,2,2
31610164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3161075,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31710002,1,1,2,1,1,1,1,1,1,1,6,2,1,1,1
31710016,1,1,3,1,1,3,1,1,3,1,38,1,1,1,1
31710023,1,1,1,1,1,1,2,1,1,2,24,1,1,1,1
31710035,1,1,1,1,1,1,1,1,1,1,10,1,5,1,1
31710039,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1
31710042,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
31710046,1,1,1,1,1,2,1,1,2,1,9,1,1,1,1
31710065,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
31710071,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1
31710074,4,1,1,1,1,1,1,1,1,2,50,13,2,4,2
31710086,1,1,1,1,1,1,1,1,1,1,31,1,1,1,1
31710092,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
31710096,1,1,1,1,1,1,1,1,1,1,13,1,1,1,1
31710106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,12,1,3
31710112,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1
31710129,1,1,3,2,1,1,1,3,1,1,2,1,1,1,1
31710135,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
31710143,1,1,1,1,1,2,1,1,1,1,6,1,1,1,1
31710145,1,1,1,1,1,1,1,1,1,1,36,3,1,1,1
31710148,1,1,1,1,1,1,1,1,1,2,25,1,1,1,1
31710150,2,4,1,1,1,1,1,1,1,1,10,11,3,3,1
31710156,1,1,1,1,1,1,1,1,3,1,12,1,1,1,1
31710165,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1
31710167,1,1,2,2,1,1,2,1,1,1,50,1,1,1,1
72,1,2,1,1,1,1,1,2,2,1,21,1,2,1,1
s31610012,1,2,1,1,1,2,1,1,1,2,8,1,1,3,2
s31610023,1,1,1,1,1,2,2,1,1,1,17,1,5,1,1
s31710105,1,2,1,1,1,6,1,1,1,1,30,1,2,1,3
s31710111,1,1,1,1,1,1,1,1,1,1,10,7,1,1,1
s31710117,1,2,1,1,1,1,1,1,1,2,35,3,1,1,1
s31710137,1,1,1,1,1,1,1,6,1,1,2,1,1,1,1
