cluster0,1_1_F,1_1_S,1_1_R,1_2_F,1_2_S,1_2_R,1_3_F,1_3_S,1_3_R,1_4_F,1_4_S,1_4_R,1_5_F,1_5_S,1_5_R
0,100.0,75.0,0.0,100.0,100.0,0.0,75.0,50.0,0.0,100.0,100.0,100.0,100.0,75.0,75.0
1,62.5,0.0,0.0,100.0,100.0,0.0,100.0,87.5,0.0,100.0,100.0,0.0,100.0,100.0,0.0
2,50.0,50.0,0.0,50.0,50.0,0.0,100.0,100.0,0.0,50.0,50.0,0.0,100.0,50.0,50.0
3,75.0,100.0,75.0,100.0,75.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
4,66.66666666666666,66.66666666666666,0.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
5,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0
6,100.0,100.0,0.0,100.0,100.0,0.0,100.0,50.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0
7,100.0,100.0,0.0,100.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0
8,75.0,75.0,0.0,75.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,75.0,75.0,0.0
9,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
10,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0
11,100.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0
